employeeID,firstName,lastName,phoneNumber,job,token
0,default,default,1111111,default,admin
146486673,FirstName,LastName,1111111111,Doctor,admin
236486673,John,Maxwell,6175641223,nurse,admin
346486673,Maria,Smith,6175141245,nurse,admin
446486673,Julieta,Rose,6175767245,nurse,admin
546486673,Julieta2,Rose2,6175767245,nurse,admin
646486673,Julieta3,Rose3,6175767245,nurse,admin
153746354,First2,Last2,1111111111,Doctor,admin
253746354,John2,Maxwell2,6175641223,nurse,admin
35374635,Maria2,Smith2,6175141245,nurse,admin
353746354,Julieta3,Rose3,6175767245,nurse,admin
553746354,Julieta4,Rose4,6175767245,nurse,admin
653746354,Julieta5,Rose5,6175767245,nurse,admin
1234,Prof,Wong,1111111111,prof,admin
